TAG_DATA_DATE,ACTUAL_VALUE,PREDICT_VALUE,RESIDUAL_VALUE
2018-12-08 02:54:00,357.86499,357.02521,0.83978
2018-12-08 02:55:00,357.75823,357.08409,0.67414
2018-12-08 02:56:00,357.74701,356.41511,1.3319
2018-12-08 02:57:00,356.94343,356.21371,0.72972
2018-12-08 02:58:00,356.85901,356.70295,0.15606
2018-12-08 02:59:00,356.64995,356.44443,0.20552
2018-12-08 03:00:00,356.62799,356.60412,0.02387
2018-12-08 03:01:00,357.65239,356.75814,0.89425
2018-12-08 03:02:00,357.76001,356.85652,0.90349
2018-12-08 03:03:00,356.7492,356.91042,-0.16122
2018-12-08 03:04:00,356.64301,356.63831,0.0047
2018-12-08 03:05:00,356.82489,356.36403,0.46086
2018-12-08 03:06:00,356.84399,356.22842,0.61557
2018-12-08 03:07:00,357.30369,356.46102,0.84267
2018-12-08 03:08:00,357.35199,356.65895,0.69304
2018-12-08 03:09:00,357.74475,356.99067,0.75408
2018-12-08 03:10:00,357.78601,356.82696,0.95905
2018-12-08 03:11:00,357.181,356.98109,0.19991
2018-12-08 03:12:00,356.5186,356.8602,-0.3416
2018-12-08 03:13:00,356.44901,356.8274,-0.37839
2018-12-08 03:14:00,357.4942,356.84623,0.64797
2018-12-08 03:15:00,357.604,356.89864,0.70536
2018-12-08 03:16:00,357.24113,357.08963,0.1515
2018-12-08 03:17:00,357.203,357.06865,0.13435
2018-12-08 03:18:00,357.39032,357.02677,0.36355
2018-12-08 03:19:00,357.41,357.2558,0.1542
2018-12-08 03:20:00,356.62904,356.90056,-0.27152
2018-12-08 03:21:00,356.547,357.21713,-0.67013
2018-12-08 03:22:00,357.95145,357.22497,0.72648
2018-12-08 03:23:00,358.099,357.03563,1.06337
2018-12-08 03:24:00,357.59404,357.38162,0.21242
2018-12-08 03:25:00,357.54099,357.26944,0.27155
2018-12-08 03:26:00,357.44869,357.17646,0.27223
2018-12-08 03:27:00,357.439,357.09074,0.34826
2018-12-08 03:28:00,357.98919,357.0269,0.96229
2018-12-08 03:29:00,358.047,356.89209,1.15491
2018-12-08 03:30:00,357.56559,357.10194,0.46365
2018-12-08 03:31:00,357.51501,356.85391,0.6611
2018-12-08 03:32:00,357.26343,357.08079,0.18264
2018-12-08 03:33:00,357.237,357.03975,0.19725
2018-12-08 03:34:00,357.25117,357.13623,0.11494
2018-12-08 03:35:00,357.23801,357.14866,0.08935
2018-12-08 03:36:00,356.7423,356.65404,0.08826
2018-12-08 03:37:00,356.71701,356.99091,-0.2739
2018-12-08 03:38:00,357.17793,357.25738,-0.07945
2018-12-08 03:39:00,357.17599,357.35897,-0.18298
2018-12-08 03:40:00,356.95487,357.27078,-0.31591
2018-12-08 03:41:00,356.948,357.18698,-0.23898
2018-12-08 03:42:00,357.29586,357.17049,0.12537
2018-12-08 03:43:00,357.297,357.11584,0.18116
2018-12-08 03:44:00,356.57172,356.77595,-0.20423
2018-12-08 03:45:00,356.561,356.44189,0.11911
2018-12-08 03:46:00,356.04248,356.56665,-0.52417
2018-12-08 03:47:00,355.98801,356.49359,-0.50558
2018-12-08 03:48:00,356.8142,356.49155,0.32265
2018-12-08 03:49:00,356.901,356.56908,0.33192
